Date,Staff,Students,Other,Total
2020-09-28,0,50,0,50
2020-09-29,0,72,0,72
2020-09-30,0,116,0,116
2020-10-01,2,142,0,144
2020-10-02,1,116,0,117
2020-10-03,2,88,0,90
2020-10-04,2,49,0,51
2020-10-05,1,75,0,76
2020-10-06,3,54,0,57
2020-10-07,2,59,0,61
2020-10-08,4,41,0,45
2020-10-09,1,36,0,37
2020-10-10,4,35,0,39
2020-10-11,4,30,1,35
2020-10-12,0,23,1,24
2020-10-13,3,25,0,28
2020-10-14,2,23,0,25
2020-10-15,3,21,0,24
2020-10-16,2,12,0,14
2020-10-17,1,14,1,16
2020-10-18,1,6,0,7
2020-10-19,3,21,1,25
2020-10-20,4,15,0,19
2020-10-21,5,15,0,20
2020-10-22,1,6,0,7
2020-10-23,6,11,0,17
2020-10-24,2,10,0,12
2020-10-25,3,4,0,7
2020-10-26,4,4,0,8
2020-10-27,2,9,0,11
2020-10-28,1,6,0,7
2020-10-29,4,6,0,10
2020-10-30,2,11,0,13
2020-10-31,2,4,0,6
2020-11-01,2,7,0,9
2020-11-02,4,4,0,8
2020-11-03,0,7,0,7
2020-11-04,3,9,0,12
2020-11-05,3,6,0,9
2020-11-06,2,9,0,11
2020-11-07,1,12,0,13
2020-11-08,1,12,0,13
2020-11-09,2,9,1,12
2020-11-10,1,14,0,15
2020-11-11,4,13,1,18
2020-11-12,0,9,0,9
2020-11-13,1,7,0,8
2020-11-14,1,10,0,11
2020-11-15,0,3,0,3
2020-11-16,1,2,0,3
2020-11-17,4,3,0,7
2020-11-18,0,3,0,3
2020-11-19,3,3,0,6
2020-11-20,0,3,0,3
2020-11-21,0,0,0,0
2020-11-22,1,1,0,2
2020-11-23,2,2,0,4
2020-11-24,0,0,0,0
2020-11-25,3,1,0,4
2020-11-26,1,1,0,2
2020-11-27,1,0,0,1
2020-11-28,0,1,0,1
2020-11-29,0,0,0,0
2020-11-30,0,0,0,0
2020-12-01,1,1,0,2
2020-12-02,0,1,0,1
2020-12-03,1,0,0,1
2020-12-04,0,3,1,4
2020-12-05,0,2,0,2
2020-12-06,1,0,0,1
2020-12-07,1,1,0,2
2020-12-08,0,2,0,2
2020-12-09,0,0,0,0
2020-12-10,0,0,0,0
2020-12-11,0,2,0,2
2020-12-12,0,0,0,0
2020-12-13,0,0,0,0
